id,text,stance,predictions
0,بيل غيتس يعلن عن تلقيه الجرعة الأولى من اللقاح ضد فيروس كورونا قال بيل غيتس إحدى مزايا بلوغي عمر الـ عام ا هي أنني مؤهل للحصول على لقاح,1,positive
1,محتاجين لقاح يقاوم الإفراط في التفكير,0,neutral
2,إحنا نخلي لقاح فايزر الأمريكي للمسئولين وكبار الشخصيات ورجال الأعمال عشان بيكسبوا كتير و هيقدروا يدفعوا كويس ونخلي لقاح موديرنا الأمريكي للدكاترة و التمريض أهو رخيص شوية ونخلي لقاح سينوفارم الصيني ولقاح سبوتنيك الروسي للشعب عشان اللقاح رخيص و الشعب بيستحمل,-1,negative
3,متحدث الصحة أخذ لقاح كورونا ليس شرطا للسماح بالسفر للخارج,0,neutral
4,جرعة من لقاح كوفيد تم تقديمها خلال الـ ساعة الماضية ليبلغ عدد الجرعات الكلي بمعدل توزيع جرعة لكل شخص يدا_بيد_نتعافى,0,neutral
5,أكثر من مليون شخص حول العالم أخذوا لقاح الكورونا,0,neutral
6,أمير الرياض يتلقى الجرعة الأولى من لقاح_كورونا,0,neutral
7,لقاح مجاني,0,neutral
8,لو سمعتوا كلام صديقي الطبيب العربي بعد حصوله على الجرعة الثانية من لقاح كورونا واعجابه واشادته بهذا البلد قيادة وشعبا وممارسين صحيين لافتخرتم وتباهيتم ببلدكم كم كان منبهرا بما شاهده من تنظيم وبما أ تخذ من خطوات نسأل الله أن يديم علينا نعمه ويحفظ لنا قادتنا ووحدتنا,1,positive
9,قال الرئیس أردوغان تركيا في المرتبة الثالثة بعد الولايات المتحدة والصين في عدد مشاريع تطوير لقاحات ضد فيروس كورونا بحسب منظمة الصحة العالمية وأضاف أن باحثا تركيا يشرفون على مشروعا لتطوير لقاح مضاد لكورونا,1,positive
10,مليون مغربي كلها تتقول حتى يدير كولشي لقاح عاد نديرو انا على هاذ الحساب غير جابو لقاح وتمحنو فيه بلا فايدة,-1,negative
11,في داخل أميركا دوت الصرخة من نفاذ حتى الكمية الإحتياطية من لقاح فايزر التحرك باتجاه خيارات أخرى أمر ضروري فليس لدينا ترف الوقت في هذا الظرف العصيب فلنتوجه شرقا اللقاح الصيني أخذه الملايين وأثبت فعاليته وشروط تخزينه أسهل فلماذا لا نسرع في طلبه كورونا_لبنان خليك_بالبيت,-1,negative
12,القصر الملكي في بريطانيا يعلن تلقي الملكة إليزابيث الثانية وزوجها الأمير فيليب دوق أدنبره لقاح فيروس كورونا,0,neutral
13,الحمدلله حمدا كثيرا تم ولله الحمد حصولي الجرعة الأولى من لقاح كوفيد_ الله يعطينا خيره ويكفينا شره ماشاءالله أعجز عن وصف حسن التنظيم من بدايةالطلب في تطبيق وزارة_الصحة إلى الاستقبال إلى احتراف الكادرالصحي إلى الحرص والعنايةفيما بعدالتطعيم ابدعتوالصراحة ابطال_الصحة,1,positive
14,الخالق جعلهم يتصرفون بحمق وغباء هذه إشارة وتحذير ستأخذ اللقاح السام لوهم كورونا الحالي ولكن هذا ليس كافيا الأوغاد سيخرجون لك كل فترة بسلالة جديدة وبطبيعة الحال ستكون أقوى وتحتاج لقاح آخر وهكذا ستقضي حياتك هذا على فرض بأنك ستعيش من تطعيم إلى آخر,-1,negative
15,سفارة خليجية في بيروت أدخلت من يومين آلاف لقاح كورونا صيني يمكن لدبلوماسييها ومواطنيها في لبنان هيدا بأكد مجددا إنو كان ممكن يوصلنا اللقاح أبكر بكتير ونوفر مئات الضحايا بس نشكر الله هالتأخير ما أثر على نشر صور مسؤولينا وتعليقاتن الفارغة وحروب أزلامن العبثية على سوشيال ميديا,1,positive
16,وصول الدفعة الأولى من لقاح سبوتنيك إلى مطار بوفاريك العسكري و الشحنة الثانية مرتقبة هذا الأحد,0,neutral
17,دراسة لقاح سبوتنيك في الروسي فع ال بنسبة,0,neutral
18,سعودي شهم يتلقى جرعة لقاح كورونا بيد إبنته لكنه أعطاها مسبقا جرعات لحب أرضها وعقيدتها وثوابت دينها ومجتمعها والدها الوفي أنكر دوره وتوجه بالشكر لله تعالى والدعاء للمملكة ولقائدنا الملك ولولي العهد تحية لهذا الأب ولهذه الطبيبة ولوالدتها وتحية لكل فتاة ملتزمة بدينها وأصالتها,1,positive
19,الكلام عن علاج كورونا مش تطعيم بدأ يزيد و أكتر من دوا بدأنا نسمع عنهم بكثافه,1,positive
20,لقاح جبل علي ماعرفو يسوون دخان جايين يسوون لقاح الحمدلله ان حكومتنا ماجابت هاللقاح,-1,negative
