text,category,stance,Lemmatization
إعطاء جرعة لقاح الحصول لقاح كورونا السعودية وفق الأولوية للمواطن والمقيم خلال تطبيق,plan,1,عطء جرع لقح حصل لقح كورو سعد وفق ولو وطن قيم خلل طبق
حفظه الله يتلقى الجرعة الأولى لقاح كورونا كوفيد ,celebrity,1,حفظ الل لقى جرع ولى لقح كورو كوفيد
لقاحات آمنة خوف يضمن التوزيع العادل ,info_news,1,لقح امن خوف يضم وزع عدل
تقول يجرى مراجعة خطوط الإنتاج بالشركة القابضة للقاحات لإنتاج لقاح توفيره الدول الإفريقية,info_news,1,تقل جرى رجع خطط ناج شرك قبض قاح إنتاج لقح وفر دول فرق
عاجل      وزارة الصحة   حصل الجرعة الأولى لقاح كورونا سيأخذ الثانية موعدها     السعودية,plan,1,عجل وزر صحة حصل جرع ولى لقح كورو أخذ ثني وعد سعد
وصول دفعة اللقاح الروسي سبوتنيك ضد كوفيد غد الجزائر ,info_news,1,وصل دفع لقح روس سبت ضد كوفيد غد جزر
حميات تكشف تفاصيل مركز لتلقى لقاحات بالمحافظة ,info_news,1,حمي كشف فصل ركز لقى لقح حفظ
الدولة ملأت بلادنا باليورانيوم نريد لقاحا ,personal,1,دول لأت بلد يورانيوم نرد لقح
دة انتو خاصمين مليارات المرتبات والمعاشات بقالكو شهور ولاد الوسخة  لقاح ايه اللي بفلوس,personal,0,دة نتو خصم لير رتب عاش قالكو شهر ولد وسخ لقح ايه الل فلس
الرئيس الأميركي المنتخب جو يدلي بتصريح حول لقاح فيروس,plan,1,رئس امر نخب جو يدل صرح حول لقح يرس
تلقى الرئيس الجرعة الأولى لقاح مضاد لفيروس كورونا المستجد,info_news,1,لقى رئس جرع ولى لقح ضاد يرس كورو سجد
وأمريكا الأسوار تهدي طفل لعبة للموت عنقودية ,info_news,1,أمر سور تهد طفل لعب موت عنقود
معالي مدير الأمن العام  الفريق ركن خالد بن قرار الحربي  يتلقى الجرعة الأولى لقاح فيروس كورونا  ,celebrity,1,علي دير امن عام فرق ركن خلد بن قرر حرب لقى جرع ولى لقح يرس كورو
وزارة الصحة الاتفاق شركة استر ازينيكا توفير مليوني جرعة لقاح,info_news,1,وزر صحة تفق شرك ستر ازن وفر ليو جرع لقح
العلامةعبدالله بن بيه يتلقى لقاح كورونا,celebrity,1,علامةعبدالله بن بيه لقى لقح كورو
شاهد يفوتك وليام شكسبير عايش ويتلقى لقاح كورونا,info_news,1,شهد يفت ليم شكسبير عيش لقى لقح كورو
نتائج مطمئنة ردود الفعل التحسسية لقاح موديرنا نادرة  ,info_news,1,نتج طمئ ردد فعل حسس لقح ودر ندر
قيد الإنجاز لقاح تركي يحارب كورونا بـ الجسيمات الشبيهة  ,info_news,1,قيد جاز لقح ترك حرب كورو بـ جسم شبه
خادم الحرمين الشريفين الملك سلمان يتلقى الجرعة الأولى لقاح كورونا,celebrity,1,خدم حرم شرف ملك سلم لقى جرع ولى لقح كورو
أكبر الباكر أعتقد أنه سيتعين المسافرين إبراز شهادة تثبت حصولهم لقاح كوفيد يتسنى الصعود الطائرة   ,info_news,1,كبر بكر عقد انه يتع سفر برز شهد تثب حصل لقح كوفيد سنى صعد طئر
تطعيم شخصا دقيقة ضد وبحلول القادم سيتم تطعيم المواطنين المملكة المتحدة  ,plan,1,طعم شخص دقق ضد حلل قدم يتم طعم وطن ملك تحد
وعد قليل يفتتح  مليون مركز تلقي لقاح  ال يوم الأولى رئاسته  وعد كبير جدا,info_news,1,وعد قلل فتح ملي ركز تلق لقح ال يوم ولى رئس وعد كبر جدا
عامل القطاع الصحي تلقوا جرعتهم الأولى لقاح وأنا بدوري انضممت إليهم وتلقيت التطعيم  ,plan,1,عمل قطع صحي تلق جرع ولى لقح وأن بدر ضمم الي تلق طعم
عبيدات مفاوضات لتأمين كمية كبيرة مطعوم سينوفارم الصيني تصل مليوني جرعة خلال أسبوع أسبوعين  ,info_news,1,عبد فاض تأم كمة كبر طعم سينوفارم صين تصل ليو جرع خلل سبع سبع
شاهد ردة فعل السفير الأميركي أخذه لقاح مركز اللقاحات بـ,celebrity,1,شهد ردة فعل سفر امر اخذ لقح ركز لقح بـ
بيانات تظهر إصابة الإسرائيليين بـ جرعتين لقاح فايزر,info_news,0,بين ظهر صبة اسرائيلي بـ جرع لقح يزر
تغطية قناة سعادة السفير انتي روتوڤووري سفير المملكة يتلقى الجرعة الثانية لقاح,celebrity,1,غطي قنة سعد سفر انت روتوڤووري سفر ملك لقى جرع ثني لقح
فرنسا تعلن الموافقة استخدام لقاح موديرنا فايزر,info_news,1,رنس تعل وفق خدم لقح ودر يزر
خرائط جوجل ستعرض قريب مواقع لقاح كوفيد كورونا ,info_news,1,خرط جوجل عرض قرب وقع لقح كوفيد كورو
تجعل فعالية اعرف أهم الأطعمة والمشروبات الضارة  للتفاصيل ,info_news,1,جعل فعل عرف اهم طعم شرب ضرة فصل
مليونير كندي وزوجته  ينتحلان صفة عمال نظافة للحصول لقاح كورونا تخطى قائمة الانتظار للحصول اللقاح,info_news,0,مليونير كند وزج نحل صفة عمل نظف حصل لقح كورو خطى قئم نظر حصل لقح
اتهام ثنائي السفر بلدة كندية نائية للحصول لقاح,info_news,0,تهم ثني سفر بلد كند نئي حصل لقح
وزير الصحة توفيق الربيعة يعلن تدشين الجواز الصحي بالشراكة سدايا لمن أكمل تطعيمات لقاح كورونا,plan,1,وزر صحة وفق ربع يعل تدش جوز صحي شرك سدا لمن كمل طعم لقح كورو
توضح الأعراض الجانبية الحصول لقاح فيروس,info_news,-1,وضح عرض جنب حصل لقح يرس
امريكا تريد سد عجز أزمتها المالية الخانقة ببيع اللقاحات يثبت لحد الان فاعليتها ,info_news,1,امر ترد سد عجز ازم الة خنق ببع لقح يثب لحد الن فعل
الغوريلا تسلم فيروس كورونا  لقاح للحيوانات,info_news,0,غوريل سلم يرس كورو لقح حيو
للتو  تستقبل جرعة لقاح فيروس التابع لشركة أسترازينيكا المصنع,info_news,1,لتو قبل جرع لقح يرس تبع لشر استرازينيكا صنع
فيروس كورونا المغرب لقح شخص ودبي تستقبل دفعة أولى لقاح أكسفورد أسترا زينيكا,info_news,1,يرس كورو غرب لقح شخص ودب قبل دفع ولى لقح كسفورد سرا زين
نائب الكونغرس الأميركي يصاب بالفيروس رغم تلقيه جرعتي,info_news,0,نئب كونغرس امر يصب يرس رغم لقه جرع
ينفع الله يعيطك الصحة والعافية  ويحفظك ويطول عمرك  الشعب سيدي ووالدي ووالد الجميع ,celebrity,1,نفع الل يعط صحة عفي حفظ يطل عمر شعب سيد ولد ولد جمع
لقاح تختاره توافرت جميعها وعلى استعداد لأخذه  لطفا المشاركة والرتويت,info_news,1,لقح خار وفر جمع على عدد أخذ لطف شرك رتي
الجزائر تتسلم أولى شحنات لقاح سبوتنيك الروسي ضد كورونا,info_news,1,جزر سلم ولى شحن لقح سبت روس ضد كورو
يعمل لقاح الصيني لمنح الجسم المناعة ضد فيروس,info_news,1,عمل لقح صين منح جسم ناع ضد يرس
فيديو جدولة إعطاء لقاح لمن حصلوا موعد الجرعة الأولى  ,plan,1,يدو جدل عطء لقح لمن حصل وعد جرع ولى
عاجل الصحة اعتماد لقاحي كورونا أسترازينيكا وموديرنا لقاح فايزر,info_news,1,عجل صحة عمد لقح كورو استرازينيكا ودر لقح يزر
هاكم إسمعوا شخص أصيبوا بكوفيد اعطائهم لقاح فايزر الخطر فلماذا التلقيح,info_news,-1,هكم سمع شخص اصب كوفيد عطئ لقح يزر خطر لمذ لقح
تعقيل الليمون  السدر  المانجو بالقلم القمي  الفواكه وقت تزهير  اكثار الأشجار بالتعقيل  المزارعين ,unrelated,0,عقل ليم سدر انجو قلم قمي فكه وقت زهر كثر شجر عقل زرع
نصف مليون مشوه بهدايا أمريكا البايولوجية ,personal,-1,نصف ملي شوه بهد امر بايولوجية
عو دنا دائما   مقدام الأمور يرضى بالصف الأول   الرئيس تلقيه الجرعة الولى لقاح,celebrity,1,عو دنا دائ قدم امر رضى لصف اول رئس لقه جرع ولى لقح
دراسة حديثة لقاح فايزر يقي سلالة المكتشفة بريطانيا  ,info_news,1,درس حدث لقح يزر يقي سلل كشف برط
طلعت الدولة شاطرة بتصدير  المازوت الطحين الدواء والكبتاغون  وفشلت بإستيراد لقاح  ,personal,1,طلع دول شطر صدر ازت طحن دوء كبتاغ فشل بإستيراد لقح
سيكون لدينا مليون جرعة لقاح لمنطقة الشرق الأوسط المقبل  ,plan,1,سيك لدي ملي جرع لقح نطق شرق وسط قبل
