text,category,stance
وزير الصحة فخر الدين قوجة يتلقى جرعة لقاح كورونافاك الصيني مستشفى بالعاصمة,celebrity,1
لقاح أميركا قلق متزايد التوزيع العادل ,info_news,0
عوارض لقاح كورونا  تهكير حسابك عتويتر ,personal,0
مليونيرا لبنان رضت الضريبة ثرواتهم  نج الإنفوغراف بدعم مؤسسة أوكسفام   ,unrelated,0
مات شخص النرويج تلقي لقاح بوست,info_news,-1
بنك الدولي سنؤمن لقاح فايزر لـ شخص لبنان,info_news,1
مصر الصحة تطلق موقع طلبات الحصول لقاح كورونا تجريبيا ,info_news,1
حفظه الله يتلقى الجرعة الأولى لقاح كورونا كوفيد,celebrity,1
نتنياهو يتلقى الجرعة الثانية لقاح كورونا ,info_news,1
مطار القاهرة يستقبل شحنة تبلغ جرعة لقاح استرازينيكا المصنع الهند,info_news,1
الحمدلله أخذت الجرعة الثانية تطعيم كوفيد الله العافية والسلامة الوباء,personal,1
تمخضت وزارة الصحة فأنجبت لقاح إنت وحظك يابتقول يارب يابتروح عنده واحنا مالناش دخل بدنا واسطه,personal,0
إيران تعلق استيراد جرعة لقاح فايزر قرار خامنئي منع استيراد اللقاحات,info_news,1
لجنة الطوارئ برئاسة رئيس الوزراء تناقش توفير لقاح كورونا لليمن   سبأ نت,plan,1
بايدن يتلقى الجرعة الثانية لقاح كورونا ,celebrity,1
دراسة لقاح فايزر يزيد رغبة الل حس الصحافي الجلجوء,others,1
تركيا وصول الدفعة الثانية لقاح كورونافاك الصيني ,info_news,1
وزير الصحة ضرورة لإجراء فحص الأجسام المضادة اللقاح  ,plan,1
نحنا بنادول عنا  بدو يكون عنا لقاح كورونا  كير بيبي,info_news,1
  معالي الدكتور أحمد بن محمد السعيدي وزير الصحة يتلقى الجرعة الثانية لقاح كوفيد بمجمع بوشر التخصصي,celebrity,1
منظمة دولية العالم وشك فشل أخلاقي توزيع لقاح كورونا  ,info_news,1
ان وعد العالم بلقاح تركى الصنع  سيقدمه للبشريه أردوغان يتلقى لقاح  صينى ازى الصحه بقى,celebrity,1
القائد الاعلى للقوات الجوية الاسبانية يستقيل منصبه اتهامه بالحصول لقاح  ان يحين دوره   مش عم بمزح,info_news,1
مستشار الرئيس للصحة يؤكد التعاقد رسمي مليون جرعة لقاح ضد,plan,1
هنغاريا توقع عقدا اقتناء لقاح سبوتنيكالروسي ضد كورونا ,info_news,1
تركيا وزير الصحة يتلقى أولى جرعات لقاح كورونا الصيني  ,celebrity,1
الإمارات تعلن توفير لقاح كورونا للجميع بدءا سن عاما,info_news,1
للفيروسات نهاية أهمية وجود تطعيم فعال ضد وام  ,info_news,0
نوال الزغبي تلتقي لطيفة دبي وتوضح حقيقة تلقيها لقاح كورونا  ,celebrity,0
تكشف فعالية لقاح وتثير أسئلة حول الاستراتيجية البريطانية ,plan,1
افضل عقار لكورونا  العقار اللى انت ساكن   واحسن لقاح لكورونا انك تتلقح فى العقار,personal,0
العاهل السعودي يتلقى لقاح كورونا وفيديو يرصد الحدث  ,info_news,1
فضيحة العيار الثقيل سيد توكل يفضح خطة نظام لتوزيع لقاح للمسؤولين للشعب ,plan,1
دراسة لقاح فايزر يبدو فعالا كورونا المتحور ,info_news,1
مواطنة عمرها عام تتلقى لقاح كورونا ,personal,1
بسوق عالغبيري لاقوا قاح حقنة زوم سردين وهياهم عايشين بشكل طبيعي  ,personal,1
استقالة منصف السلاوي رئيس فريق البيت الأبيض المكلف بتطوير لقاح كورونا,info_news,0
لقاح فايزر بيوانتك   وفق لبيانات شركة فايزر المنشورة لقاحها فعال بنسبة تقريب الجرعة الأولى,info_news,1
أمير سعودي يجيب اتهام بحصوله واسطة لتلقي لقاح مضاد لفيروس كورونا,info_news,1
أفضل عقار لكورونا العقار الي انت وأحسن لقاح لكورونا أنك تتلقح بنفس العقار,personal,-1
لقاح كنيسة تتهم بمخالفة المسيحية  رابط تخطي الحجب,unrelated,0
عاجل توصي باستخدام لقاح المضاد لفيروس لمن عاما فقط,plan,1
عضو لجنة الأوبئة عزمي محافظة للمملكة الحوامل والمرضعات واللاتي يخططن للحمل يستثنين مطعوم,info_news,1
كامالا هاريس تتلقي الجرعة الثانية لقاح كورونا ,celebrity,1
إهداء لوالدنا وقائدنا   برد سلام رب فاجعل نفعها  عمر مديد يدوم سناه  حروف  بصوتي ,celebrity,1
مصر تمنح الترخيص الطارئ لاستخدام لقاح كوفيشيلد أسترازينيكا,info_news,1
إصابة شخصا بشلل فى الوجه تلقيهم لقاح بإسرائيل,info_news,-1
الوزير الأول وسط المواطنين يتقدم لتلقي لقاح سبوتنيكالروسي,celebrity,1
فايزر تتوقع مبيعات بقيمة مليار لقاح كورونا ,info_news,1
ظهور حالة بتطبيق تلقي الجرعة الثانية لقاح ,info_news,1
دراسة لقاح فايزر بيونتيك فعال ضد فيروس المتحور,info_news,1
بالفيديو  وفاة شخصا تلقي لقاح فيروس كورونا النرويج والسبب ,info_news,-1
