text,category,stance,sentiment,words,errors,errors_count,sentence_length
إعطاء جرعة لقاح الحصول لقاح كورونا السعودية وفق الأولوية للمواطن والمقيم خلال تطبيق,plan,1,positive,"['إعطاء', 'جرعة', 'لقاح', 'الحصول', 'لقاح', 'كورونا', 'السعودية', 'وفق', 'الأولوية', 'للمواطن', 'والمقيم', 'خلال', 'تطبيق']","{'كورونا', 'السعودية', 'لقاح', 'الأولوية', 'والمقيم', 'وفق', 'خلال', 'الحصول', 'جرعة', 'تطبيق', 'للمواطن', 'إعطاء'}",12,83
حفظه الله يتلقى الجرعة الأولى لقاح كورونا كوفيد ,celebrity,1,positive,"['حفظه', 'الله', 'يتلقى', 'الجرعة', 'الأولى', 'لقاح', 'كورونا', 'كوفيد']","{'كورونا', 'الله', 'الأولى', 'لقاح', 'كوفيد', 'حفظه', 'الجرعة', 'يتلقى'}",8,48
لقاحات آمنة خوف يضمن التوزيع العادل ,info_news,1,positive,"['لقاحات', 'آمنة', 'خوف', 'يضمن', 'التوزيع', 'العادل']","{'آمنة', 'لقاحات', 'العادل', 'يضمن', 'التوزيع', 'خوف'}",6,36
تقول يجرى مراجعة خطوط الإنتاج بالشركة القابضة للقاحات لإنتاج لقاح توفيره الدول الإفريقية,info_news,1,positive,"['تقول', 'يجرى', 'مراجعة', 'خطوط', 'الإنتاج', 'بالشركة', 'القابضة', 'للقاحات', 'لإنتاج', 'لقاح', 'توفيره', 'الدول', 'الإفريقية']","{'للقاحات', 'لقاح', 'يجرى', 'خطوط', 'الدول', 'تقول', 'لإنتاج', 'القابضة', 'الإنتاج', 'بالشركة', 'توفيره', 'الإفريقية', 'مراجعة'}",13,88
عاجل      وزارة الصحة   حصل الجرعة الأولى لقاح كورونا سيأخذ الثانية موعدها     السعودية,plan,1,positive,"['عاجل', 'وزارة', 'الصحة', 'حصل', 'الجرعة', 'الأولى', 'لقاح', 'كورونا', 'سيأخذ', 'الثانية', 'موعدها', 'السعودية']","{'عاجل', 'كورونا', 'سيأخذ', 'الأولى', 'السعودية', 'لقاح', 'الثانية', 'وزارة', 'الصحة', 'موعدها', 'حصل', 'الجرعة'}",12,87
وصول دفعة اللقاح الروسي سبوتنيك ضد كوفيد غد الجزائر ,info_news,1,positive,"['وصول', 'دفعة', 'اللقاح', 'الروسي', 'سبوتنيك', 'ضد', 'كوفيد', 'غد', 'الجزائر']","{'غد', 'دفعة', 'كوفيد', 'الجزائر', 'وصول', 'اللقاح', 'سبوتنيك', 'ضد', 'الروسي'}",9,52
حميات تكشف تفاصيل مركز لتلقى لقاحات بالمحافظة ,info_news,1,positive,"['حميات', 'تكشف', 'تفاصيل', 'مركز', 'لتلقى', 'لقاحات', 'بالمحافظة']","{'تفاصيل', 'تكشف', 'لتلقى', 'لقاحات', 'بالمحافظة', 'حميات', 'مركز'}",7,46
الدولة ملأت بلادنا باليورانيوم نريد لقاحا ,personal,1,positive,"['الدولة', 'ملأت', 'بلادنا', 'باليورانيوم', 'نريد', 'لقاحا']","{'الدولة', 'لقاحا', 'بلادنا', 'نريد', 'باليورانيوم', 'ملأت'}",6,42
دة انتو خاصمين مليارات المرتبات والمعاشات بقالكو شهور ولاد الوسخة  لقاح ايه اللي بفلوس,personal,0,neutral,"['دة', 'انتو', 'خاصمين', 'مليارات', 'المرتبات', 'والمعاشات', 'بقالكو', 'شهور', 'ولاد', 'الوسخة', 'لقاح', 'ايه', 'اللي', 'بفلوس']","{'ايه', 'ولاد', 'لقاح', 'مليارات', 'شهور', 'خاصمين', 'الوسخة', 'المرتبات', 'دة', 'والمعاشات', 'بفلوس', 'انتو', 'بقالكو', 'اللي'}",14,86
الرئيس الأميركي المنتخب جو يدلي بتصريح حول لقاح فيروس,plan,1,positive,"['الرئيس', 'الأميركي', 'المنتخب', 'جو', 'يدلي', 'بتصريح', 'حول', 'لقاح', 'فيروس']","{'حول', 'لقاح', 'بتصريح', 'الرئيس', 'جو', 'فيروس', 'المنتخب', 'يدلي', 'الأميركي'}",9,53
