text,category,stance
بيل غيتس يتلقى لقاح كوفيد تصوير الابرة السيرنجة الدواء لابس بولو صيفي عز الشتاء يقول ان مزايا عمر ال عام انه مؤهل للحصول اللقاح يعنى يحتاج اللقاح عمره اصغر,celebrity,1
وزير الصحة لحد اليوم وتحديدا هلأ بمؤتمروا الصحفي عندي مشكلة معوا انوا بفايزر اللقاح الوحيد الآمن بالعالم لأ حبيبي هاي نفاق واضح عفوا يعني مش إنوا مجبورين قادر تجبر الدولة المارقة تدفع مصاري تجيب لقاح تاني يلا باي,info_news,1
قولكن رح يكونو اد المسؤولية لبنان يوصل اللقاح ألفي جرعة لقاح كورونا للتلف مستشفى بوسطن لأن عامل النظافة وقف طريق الخطأ عمل الثلاجة حفظت لقاح_كورونا,info_news,1
تركيا وزير الصحة فخر الدين قوجة يتلقى جرعة لقاح كورونافاك الصيني مستشفى بالعاصمة أنقرة,celebrity,1
وئام وهاب يشتم الدول الخليجية طلة اعلامية ويتسافه عليهم واليوم جاء الى دبي وأخذ لقاح كورونا الأجدر توقيفه وطرده اذا تستحي فافعل شئت,personal,0
لقاح كورونا أميركا قلق متزايد التوزيع العادل,info_news,0
لبنان اشترى مليونان لقاح امريكي اذا شلنا يلي عمرهم سنة ويلي مابدهم ياخذوا لقاح امريكي ويلي بدهم ياخذوا لقاح لانه مفكرينها مؤامرة بعتقد بفضل اللقاح عشوا عاملين قصة مين رح ياخذ اول شي بكرا بنذكر الدولة رح تصير تدعي لاخذ اللقاح والناس بدها,info_news,1
عوارض لقاح كورونا تهكير حسابك عتويتر عاصي_الحلاني,personal,0
مليونيرا لبنان رضت الضريبة ثرواتهم نج الإنفوغراف بدعم مؤسسة أوكسفام محاربة_الفقر محاربة_اللامساواة فيروس_اللامساواة لقاح_الناس لبنان_ينتفض,unrelated,0
دعبول حضرتك منو انت وتطلب قائد دولة إسلامية لقاح لعد اتابع الاخبار بكل مجالاتهم متفوقين وراح يطلع اللقاح قريبا دعبول_دومه_مسحول,info_news,1
مات شخص النرويج تلقي لقاح نيويورك بوست,info_news,-1
وبناء تحليلها لهذه البيانات قررت المملكة المتحدة تأجيل الجرعة الثانية واستخدام الجرعات المتاحة تطعيم اكبر عدد ممكن الناس لحين تصنيع يكفي اللقاحات لتوفير الجرعة الثانية خلال مدة تصل الى اسبوع تلقى الجرعة الاولى وحذت الدول حذوها,info_news,1
حراموس الولائيون لاينفعهم لقاح الشيتان الأكببببر مستعدون للموت بالفايروس يأخذون الطعوم اللقاح الاميركي,info_news,-1
إعلان هام للمواطنين والمقيمين دولة قطر وزارة الصحة العامة تفتح باب التسجيل للحصول لقاح كوڤيد عبر الرابط التالي قطر نديب_قطر,info_news,1
الصين أثناء ظهور السلالة الجديدة كورونا اسنان وبالمرة استطاعوا انتاج لقاح لهذه السلالة بهذه السرعة اشتروها دول والا السلالة الجديدة ستأتي لعضكم,info_news,1
بنك الدولي سنؤمن لقاح فايزر لـ شخص لبنان,info_news,1
مصر الصحة تطلق موقع طلبات الحصول لقاح كورونا تجريبيا,info_news,1
حذر الرئيس مخاطر التطعيم التطعيمات خطيرة وأضاف ماجوفولي استطاع العلماء اختراعها لكانوا توصلوا لقاح ضد الإيدز والسرطان والسل فترة طويلة وحث الرئيس ماجوفولي التنزانيين مواصلة اتخاذ الاحتياطات الوقت نفسه أعلن أنه يكون حجر صحي البلاد,info_news,-1
معالي الدكتور وزير الصحة يبين أنه يمكن لمن تلقى الجرعة الأولى لقاح فايزر بيونيتك يتلقى الجرعة الثانية لقاح أسترازينيكا ويقول الدلائل الأولية فيد بأن السلالة الجديدة فيروس كورونا تستجيب للعلاج باللقاحات المختلفة الم نعة لكوفيد,plan,1
لقاح الحصبة يمنعك الإصابة بالحصبة لقاح الجدري يمنعك الإصابة بالجدري لقاح كوذيب يمنعك الإصابة بالمرض يمنعك نقل العدوى ويجب الاستمرار بكتم أنفاسك وأن تبتعد الناس يفعل الأجرب لماذا يتم تسميته لقاحا لتضليل الناس عميت بصائرهم,unrelated,0
خادم_الحرمين_الشريفين حفظه الله يتلقى الجرعة الأولى لقاح كورونا كوفيد,celebrity,1
نتنياهو يتلقى الجرعة الثانية لقاح كورونا,info_news,1
يجب يكون لقاح كوفيد شاملا للجميع لنكن واضحين حماية البلدان الثرية وحدها يتيح عودة الحياة طبيعتها وطالما ظل فيروس الكورونا ينتشر مكان العالم فسيظل يشكل تهديدا جميعا يجب نعمل معا كأمم متحدة اللقاحات_فعالة,info_news,1
مطار القاهرة يستقبل شحنة تبلغ جرعة لقاح استرازينيكا المصنع الهند,info_news,1
وللبد لازم مسؤول رسمي بالدولة اللبنانية الرؤسا والوزرا يحصلو لقاح كورونا الشعب مش خدمة الشعب غلطان صح المعلومات حول حصول هالفئة عاللقاح غيرهم يعني فعلا الوقاحة بتكون تخطت حدود الكن تعملوها ونظرة الناس تجاهكم نظرة احتقار,personal,1
عاجل فيديو الملك_سلمان يتلقى الجرعة الأولى لقاح فيروس كورونا,celebrity,1
