text,category,stance,Lemmatization,sentiment
بيل غيتس يتلقى لقاح كوفيد تصوير الابرة السيرنجة الدواء لابس بولو صيفي عز الشتاء يقول ان مزايا عمر ال عام انه مؤهل للحصول اللقاح يعنى يحتاج اللقاح عمره اصغر,celebrity,1,"['بيل', 'غيتس', 'لقى', 'لقح', 'كوفيد', 'صور', 'ابر', 'رنج', 'دوء', 'لبس', 'ولو', 'صيف', 'عز', 'شتء', 'يقل', 'ان', 'مزا', 'عمر', 'ال', 'عام', 'انه', 'ؤهل', 'حصل', 'لقح', 'عنى', 'حاج', 'لقح', 'عمر', 'صغر']",positive
وزير الصحة لحد اليوم وتحديدا هلأ بمؤتمروا الصحفي عندي مشكلة معوا انوا بفايزر اللقاح الوحيد الآمن بالعالم لأ حبيبي هاي نفاق واضح عفوا يعني مش إنوا مجبورين قادر تجبر الدولة المارقة تدفع مصاري تجيب لقاح تاني يلا باي,info_news,1,"['وزر', 'صحة', 'لحد', 'اليوم', 'حدد', 'هلأ', 'ؤمر', 'صحف', 'عند', 'شكل', 'عوا', 'انا', 'يزر', 'لقح', 'وحد', 'امن', 'علم', 'لأ', 'حبب', 'هاي', 'نفق', 'وضح', 'عفا', 'يعن', 'مش', 'انا', 'جبر', 'قدر', 'جبر', 'دول', 'ارق', 'دفع', 'صري', 'تجب', 'لقح', 'تني', 'يلا', 'باي']",positive
قولكن رح يكونو اد المسؤولية لبنان يوصل اللقاح ألفي جرعة لقاح كورونا للتلف مستشفى بوسطن لأن عامل النظافة وقف طريق الخطأ عمل الثلاجة حفظت لقاح_كورونا,info_news,1,"['قول', 'رح', 'كونو', 'اد', 'سؤل', 'لبن', 'وصل', 'لقح', 'الف', 'جرع', 'لقح', 'كورو', 'تلف', 'شفى', 'وسط', 'لأن', 'عمل', 'نظف', 'وقف', 'طرق', 'خطأ', 'عمل', 'ثلج', 'حفظ', 'لقاح_كورو']",positive
تركيا وزير الصحة فخر الدين قوجة يتلقى جرعة لقاح كورونافاك الصيني مستشفى بالعاصمة أنقرة,celebrity,1,"['ترك', 'وزر', 'صحة', 'فخر', 'دين', 'قوج', 'لقى', 'جرع', 'لقح', 'كورونافاك', 'صين', 'شفى', 'عصم', 'نقر']",positive
وئام وهاب يشتم الدول الخليجية طلة اعلامية ويتسافه عليهم واليوم جاء الى دبي وأخذ لقاح كورونا الأجدر توقيفه وطرده اذا تستحي فافعل شئت,personal,0,"['وئم', 'وهب', 'شتم', 'دول', 'خلج', 'طلة', 'علم', 'تسف', 'علي', 'يوم', 'جاء', 'الى', 'دبي', 'أخذ', 'لقح', 'كورو', 'جدر', 'وقف', 'طرد', 'اذا', 'سحي', 'فعل', 'شئت']",neutral
لقاح كورونا أميركا قلق متزايد التوزيع العادل,info_news,0,"['لقح', 'كورو', 'امر', 'قلق', 'زايد', 'وزع', 'عدل']",neutral
لبنان اشترى مليونان لقاح امريكي اذا شلنا يلي عمرهم سنة ويلي مابدهم ياخذوا لقاح امريكي ويلي بدهم ياخذوا لقاح لانه مفكرينها مؤامرة بعتقد بفضل اللقاح عشوا عاملين قصة مين رح ياخذ اول شي بكرا بنذكر الدولة رح تصير تدعي لاخذ اللقاح والناس بدها,info_news,1,"['لبن', 'شرى', 'لين', 'لقح', 'امر', 'اذا', 'شلن', 'يلي', 'عمر', 'سنة', 'ويل', 'ابد', 'يخذ', 'لقح', 'امر', 'ويل', 'دهم', 'يخذ', 'لقح', 'لنه', 'فكر', 'ؤمر', 'عتقد', 'فضل', 'لقح', 'عشا', 'عمل', 'قصة', 'مين', 'رح', 'يخذ', 'اول', 'شي', 'بكر', 'ذكر', 'دول', 'رح', 'تصر', 'تدع', 'لخذ', 'لقح', 'ناس', 'بده']",positive
عوارض لقاح كورونا تهكير حسابك عتويتر عاصي_الحلاني,personal,0,"['عرض', 'لقح', 'كورو', 'هكر', 'حسب', 'عتويتر', 'عاصي_الحلا']",neutral
مليونيرا لبنان رضت الضريبة ثرواتهم نج الإنفوغراف بدعم مؤسسة أوكسفام محاربة_الفقر محاربة_اللامساواة فيروس_اللامساواة لقاح_الناس لبنان_ينتفض,unrelated,0,"['مليونيرا', 'لبن', 'رضت', 'ضرب', 'ثرا', 'نج', 'انفوغراف', 'دعم', 'ؤسس', 'كسفام', 'محاربة_الفقر', 'محاربة_اللامساواة', 'فيروس_اللامساواة', 'لقاح_الناس', 'لبنان_ينتفض']",neutral
دعبول حضرتك منو انت وتطلب قائد دولة إسلامية لقاح لعد اتابع الاخبار بكل مجالاتهم متفوقين وراح يطلع اللقاح قريبا دعبول_دومه_مسحول,info_news,1,"['دعبول', 'حضر', 'منو', 'انت', 'طلب', 'قئد', 'دول', 'سلم', 'لقح', 'لعد', 'تبع', 'خبر', 'بكل', 'جلا', 'تفق', 'ورح', 'طلع', 'لقح', 'قرب', 'دعبول_دومه_مسحول']",positive
